Puertos,lon,lat
Cabo Blanco,-81.23333,-4.283333
Talara,-81.27834,-4.573333
Paita,-81.0274,-5.033333
Pta. Gobernador,-81.1069,-5.28882
Pta. Falsa,-81.1245,-5.97885
Mórrope,-80.03333,-6.533333
Pimentel,-79.9132,-6.84012
Chérrepe,-79.6488,-7.18009
Chicama,-79.4221,-7.67369
Salaverry,-78.9487,-8.23024
Punta Chao,-78.7329,-8.75
Chimbote,-78.5436,-9.083333
Coishco,-78.623592,-9.020361
Samanco,-78.499077,-9.257027
Casma,-78.3992,-9.45
Punta Lobos,-78.2328,-9.75
Huarmey,-78.1434,-10.06667
Punta Bermejo,-77.9319,-10.48333
Supe,-77.7433,-10.8
Huacho,-77.5875,-11.11667
Chancay,-77.2538,-11.58333
Callao,-77.125,-12.1
Pucusana,-76.78333,-12.5
Cerro Azul,-76.46667,-13.01667
Tambo de Mora,-76.16666,-13.46667
Pisco,-76.2,-13.71667
Bahía Independencia,-76.095,-14.25
Punta Infiernillos,-75.9,-14.64167
Punta Caballas,-75.45,-14.95
Lomas,-74.61198866,-15.6409988
San Juan,-75.13667,-15.38667
Chala,-74.24167,-15.8
Atico,-73.68333,-16.22167
La Planchada,-73.219955,-16.401909
Ocoña,-73.10833,-16.44167
Quilca,-72.41666,-16.70833
Mollendo,-72,-17.01667
Pta. El Carmen,-71.4,-17.375
Ilo,-71.33334,-17.63667
M. Sama,-70.86667,-17.975
Palos,-70.5,-18.29167
